name,dept,area,count,adjustedcount,year
Jun Xiao 0001,Zhejiang University,iccv,1.0,0.16667,2023
Jun Xiao 0001,Zhejiang University,iclr,3.0,0.7,2023
Jun Xiao 0001,Zhejiang University,icml,1.0,0.125,2022
Jun Xiao 0001,Zhejiang University,icml,4.0,0.55833,2025
Jun Xiao 0001,Zhejiang University,ijcai,2.0,0.28571,2016
Jun Xiao 0001,Zhejiang University,ijcai,1.0,0.16667,2017
Jun Xiao 0001,Zhejiang University,ijcai,2.0,0.29167,2018
Jun Xiao 0001,Zhejiang University,ijcai,1.0,0.16667,2019
Jun Xiao 0001,Zhejiang University,ijcai,1.0,0.16667,2020
Jun Xiao 0001,Zhejiang University,kdd,1.0,0.14286,2021
Jun Xiao 0001,Zhejiang University,nips,1.0,0.125,2022
Jun Xiao 0001,Zhejiang University,nips,2.0,0.30952,2023
Jun Xiao 0001,Zhejiang University,nips,1.0,0.16667,2024
Jun Xiao 0001,Zhejiang University,sigir,1.0,0.16667,2019
Jun Xiao 0001,Zhejiang University,sigir,1.0,0.16667,2020
Kai Bu,Zhejiang University,cvpr,1.0,0.16667,2022
Kai Bu,Zhejiang University,hpca,1.0,0.25,2022
Kai Bu,Zhejiang University,micro,1.0,0.2,2022
Kai Bu,Zhejiang University,ndss,1.0,0.25,2020
Kai Bu,Zhejiang University,ndss,1.0,0.16667,2024
Kai Bu,Zhejiang University,ndss,1.0,0.1,2025
Katerina Sotiraki,Yale University,crypto,1.0,0.33333,2021
Katerina Sotiraki,Yale University,crypto,1.0,0.33333,2023
Katerina Sotiraki,Yale University,ec,1.0,0.25,2020
Katerina Sotiraki,Yale University,eurocrypt,1.0,0.25,2025
Katerina Sotiraki,Yale University,focs,1.0,0.33333,2018
Katerina Sotiraki,Yale University,nips,1.0,0.16667,2024
Katerina Sotiraki,Yale University,soda,1.0,0.25,2021
Katerina Sotiraki,Yale University,usenixsec,1.0,0.2,2023
Ke Chen 0005,Zhejiang University,aaai,1.0,0.16667,2020
Ke Chen 0005,Zhejiang University,aaai,1.0,0.2,2021
Ke Chen 0005,Zhejiang University,aaai,1.0,0.2,2023
Ke Chen 0005,Zhejiang University,aaai,2.0,0.5,2024
Ke Chen 0005,Zhejiang University,aaai,1.0,0.16667,2025
Ke Chen 0005,Zhejiang University,acl,1.0,0.25,2020
Ke Chen 0005,Zhejiang University,acl,1.0,0.2,2022
Ke Chen 0005,Zhejiang University,acl,1.0,0.14286,2024
Ke Chen 0005,Zhejiang University,fse,1.0,0.16667,2021
Ke Chen 0005,Zhejiang University,icde,1.0,0.25,2009
Ke Chen 0005,Zhejiang University,icde,2.0,0.41667,2024
Ke Chen 0005,Zhejiang University,icde,1.0,0.2,2025
Ke Chen 0005,Zhejiang University,iclr,1.0,0.11111,2025
Ke Chen 0005,Zhejiang University,icml,1.0,0.125,2025
Ke Chen 0005,Zhejiang University,ijcai,1.0,0.16667,2020
Ke Chen 0005,Zhejiang University,ijcai,1.0,0.2,2022
Ke Chen 0005,Zhejiang University,ijcai,2.0,0.375,2023
Ke Chen 0005,Zhejiang University,kdd,1.0,0.25,2021
Ke Chen 0005,Zhejiang University,kdd,2.0,0.39286,2024
Ke Chen 0005,Zhejiang University,sigir,1.0,0.2,2011
Ke Chen 0005,Zhejiang University,sigir,1.0,0.25,2012
Ke Chen 0005,Zhejiang University,sigir,2.0,0.41667,2013
Ke Chen 0005,Zhejiang University,sigir,1.0,0.2,2014
Ke Chen 0005,Zhejiang University,sigir,1.0,0.2,2025
Ke Chen 0005,Zhejiang University,sigmod,1.0,0.16667,2025
Ke Chen 0005,Zhejiang University,vldb,1.0,0.16667,2014
Ke Chen 0005,Zhejiang University,vldb,1.0,0.2,2019
Ke Chen 0005,Zhejiang University,vldb,1.0,0.14286,2025
Kejun Zhang,Zhejiang University,aaai,1.0,0.16667,2021
Kejun Zhang,Zhejiang University,aaai,1.0,0.14286,2025
Kejun Zhang,Zhejiang University,chiconf,1.0,0.25,2025
Kejun Zhang,Zhejiang University,emnlp,1.0,0.1,2022
Kejun Zhang,Zhejiang University,icra,1.0,0.5,2005
Kejun Zhang,Zhejiang University,ijcai,1.0,0.11111,2024
Kejun Zhang,Zhejiang University,ijcai,1.0,0.14286,2025
Kejun Zhang,Zhejiang University,nips,1.0,0.11111,2024
Kui Ren 0001,Zhejiang University,aaai,1.0,0.33333,2019
Kui Ren 0001,Zhejiang University,aaai,1.0,0.125,2023
Kui Ren 0001,Zhejiang University,aaai,1.0,0.14286,2024
Kui Ren 0001,Zhejiang University,aaai,1.0,0.11111,2025
Kui Ren 0001,Zhejiang University,ase,1.0,0.1,2021
Kui Ren 0001,Zhejiang University,ase,1.0,0.16667,2023
Kui Ren 0001,Zhejiang University,asplos,1.0,0.125,2022
Kui Ren 0001,Zhejiang University,asplos,1.0,0.16667,2023
Kui Ren 0001,Zhejiang University,ccs,1.0,0.16667,2014
Kui Ren 0001,Zhejiang University,ccs,1.0,0.14286,2015
Kui Ren 0001,Zhejiang University,ccs,2.0,0.33333,2016
Kui Ren 0001,Zhejiang University,ccs,1.0,0.16667,2017
Kui Ren 0001,Zhejiang University,ccs,1.0,0.16667,2019
Kui Ren 0001,Zhejiang University,ccs,2.0,0.20202,2021
Kui Ren 0001,Zhejiang University,ccs,2.0,0.375,2023
Kui Ren 0001,Zhejiang University,ccs,5.0,0.67063,2024
Kui Ren 0001,Zhejiang University,ccs,1.0,0.2,2025
Kui Ren 0001,Zhejiang University,cvpr,1.0,0.14286,2022
Kui Ren 0001,Zhejiang University,cvpr,3.0,0.38571,2023
